chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,138,0,5,5,21,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,138,0,6,6,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,138,0,7,7,38,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,138,0,8,8,26,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,2,RandomDot24.png,No answer,19,,,138,0,9,9,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,0,both_right.png,0,RandomDot5.png,No answer,21,,,138,0,10,10,16,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,138,0,11,11,8,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,138,0,12,12,7,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,138,0,13,13,30,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,138,0,14,14,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,0,RandomDot23.png,No answer,20,,,138,0,15,15,24,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,138,0,16,16,5,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,0,both_right.png,3,RandomDot17.png,No answer,21,,,138,0,17,17,15,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,,138,0,18,18,10,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,138,0,19,19,25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,138,0,20,20,33,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,138,0,21,21,31,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,138,0,22,22,6,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,,138,0,23,23,37,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,138,0,24,24,17,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,138,0,25,25,36,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,138,0,26,26,9,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,138,0,27,27,29,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,138,0,28,28,14,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,138,0,29,29,27,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,138,0,30,30,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,138,0,31,31,12,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,138,0,32,32,22,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,,138,0,33,33,11,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,5,both_right.png,10,RandomDot42.png,RightButton,20,,,138,0,34,34,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,138,0,35,35,35,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,138,0,36,36,28,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,0,both_right.png,1,RandomDot3.png,No answer,19,,,138,0,37,37,34,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6It1un8kGFdY7i4,2,2024-05-23_14h35.56.756,interaction task,2021.2.3,MacIntel,59.88023952,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24437934,0.41599026,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,138,0,38,38,32,1
